PROVIDER_ID,Hospital_Name,Address,State,ZIP Code,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp,summary_score,star,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,AL,36301.0,1,8,11,7,7,10,5,2,3) # of groups=5,-0.0309679507762575,3.0,0.0070710636244933,0.2308674186224573,-0.1468673734802767,0.1377785432470238,-0.6776239518272584
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,AL,35957.0,1,8,9,6,7,12,5,2,3) # of groups=5,-0.2925772029272726,2.0,-1.4405873607235988,0.7202630159343831,-0.087719588805179,-0.2551247788493336,-0.4890007182471029
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,AL,35630.0,1,8,9,7,7,11,5,2,3) # of groups=5,-0.751170667309758,1.0,-1.4627481620018874,-0.2694749210019423,-0.1733309153859108,-1.0970880946224175,-0.7549117237256937
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,AL,36467.0,1,8,7,3,2,7,4,1,2) # of groups=4,-0.9656307578585652,1.0,-3.5276147409616683,-0.470902742218635,0.393999075851622,0.1997672580618048,-1.80487920849877
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,AL,36049.0,0,0,2,0,0,6,1,0,,-0.1582459850142227,,,-0.0017258693565485,,,-0.4451995303866256
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,AL,35235.0,1,8,9,7,7,8,5,2,3) # of groups=5,-0.2493672903641641,3.0,-0.4767203725733137,-0.4021907147552279,0.3466230597877495,-0.030498095761645,-1.0462861936468997
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,AL,35968.0,1,8,6,3,4,9,5,2,3) # of groups=5,-0.3624576315503351,2.0,-1.5325712690919713,-0.1205700137553671,0.3389377536645255,-0.2817576722219766,-0.0945513936773459
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,AL,35007.0,1,8,9,7,7,6,5,2,3) # of groups=5,-0.2058454887099383,3.0,0.5364458219531018,-0.6640110582860881,0.0762134154368973,-0.7323469729646799,-0.2785979505047433
010018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD STE 305,AL,35233.0,0,0,2,0,1,4,1,0,,0.6699586573618252,,,0.5499659922372403,0.1835002162723403,,1.7817856854209535
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,AL,35660.0,1,8,7,4,7,10,5,2,3) # of groups=5,-0.5440789445188622,2.0,-2.238530293316371,0.4152038146027348,-1.286997333241548,0.8583663648999299,-0.4054025513892184
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,AL,36360.0,1,8,5,3,2,8,4,1,2) # of groups=4,-0.1100702013588512,2.0,-0.4143042906108648,0.3287168045414188,-0.355110932249972,0.7202685604866292,-1.429796938630314
010022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,AL,35960.0,0,0,3,1,1,5,2,0,,0.7039085479587713,,1.118340219067053,0.1513423968869749,1.4110119356821584,,-0.3392011162676614
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,AL,36116.0,1,8,11,7,7,10,5,2,3) # of groups=5,-0.5005949139705584,2.0,-0.9024098219437084,-0.3020667564078788,-0.8352421326603395,-0.3051218592614589,0.1272500957465533
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,AL,36106.0,1,8,11,7,7,9,5,2,3) # of groups=5,-0.6301414530832922,1.0,-0.758116395791889,-0.0933380617745504,-1.320215055605019,-0.2301214089743929,-0.8478954184267072
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,AL,36801.0,1,8,11,7,8,10,5,2,3) # of groups=5,-0.3454782284353744,2.0,-1.1414604905698296,-0.0687130765174516,-0.265892752492286,0.2134597214750187,-0.5642064737697811
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,AL,35233.0,1,8,11,7,8,10,5,2,3) # of groups=5,-0.1342392128179313,3.0,0.0277763913691524,-0.3122477064205056,-0.4765070929225495,0.4328618878203601,-0.5171131532012667
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,AL,36078.0,0,0,2,0,0,5,1,0,,0.5464260886822392,,,1.0549818153892572,,,-0.3859260769472938
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,AL,35058.0,1,8,8,6,7,11,5,2,3) # of groups=5,0.024802592482232,3.0,-0.419897711827279,0.0075417101341579,0.3585320160107632,0.1390274333473608,0.0504819499660949
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,AL,36420.0,1,8,7,4,3,9,5,2,3) # of groups=5,-0.2716656597247993,2.0,-0.5903492599606,-0.5189269174698979,0.568522568189751,0.1210715980983686,-1.4944634772789671
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,AL,35801.0,1,8,11,7,8,11,5,2,3) # of groups=5,-0.4761161118543492,2.0,-1.142166453512904,0.4856621435166386,-0.56010587766473,-0.4351054289541387,-0.939488968325165
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,AL,35903.0,1,8,9,7,7,9,5,2,3) # of groups=5,-0.5648807274832249,2.0,0.0306402994108482,0.0355139234044558,-0.4789042064840779,-1.178942585149533,-1.7892363528599786
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,AL,35570.0,0,0,4,2,0,7,2,0,,0.4485890198274921,,-0.0061687080405743,1.312718253279195,,,-0.3019254070758413
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,AL,35555.0,1,8,5,3,2,7,4,1,2) # of groups=4,0.3553258295124078,4.0,0.4648594545341236,-0.2371989903357489,-0.480645346081642,1.876022931402344,-0.0145211781815754
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,AL,35901.0,1,8,7,6,7,7,5,2,3) # of groups=5,-0.1253909487475812,3.0,0.2431160631794989,-1.2959130685528846,1.1449985928747206,-0.5367961988623443,-0.2298344520679928
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,AL,36330.0,1,8,7,4,4,11,5,2,3) # of groups=5,-0.3427102906292081,2.0,-1.7873372674998886,-0.1226969392030311,0.2604687729792911,0.1381476203417367,-0.0849864307099327
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,AL,35462.0,0,0,0,0,0,4,1,0,,1.3907802080983844,,,,,,1.3907802080983844
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,AL,36853.0,0,0,1,0,0,6,1,0,,0.3599122343171239,,,0.9755889956643764,,,-0.7688284948195058
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,AL,36305.0,1,8,9,7,8,10,5,2,3) # of groups=5,-0.5299754388624194,2.0,-2.085425645719855,-0.6686873518972645,0.760160753118589,0.064338633906511,-0.8788370377681259
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,AL,35205.0,1,8,9,7,8,11,5,2,3) # of groups=5,0.1540825903562953,4.0,-0.1715550385888052,0.7851572143496973,0.0644946197486481,0.7083654643257979,-1.2578258900623258
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,AL,35042.0,0,0,1,0,2,7,1,0,,0.4458901563497686,,,0.334469541024832,0.7611955396676592,,0.072101415029353
